,XGBoost,XGBoost,XGBoost,RF,RF,RF,SVR,SVR,SVR,LSTM,LSTM,LSTM
,R2,RMSE,MBE,R2,RMSE,MBE,R2,RMSE,MBE,R2,RMSE,MBE
year,,,,,,,,,,,,
2019,0.5342411449387374,0.47212540481109366,-0.02479221620358722,0.549841656248722,0.4641511834250981,0.00010379623853078951,0.6686772374202838,0.3982010921983589,-0.07619958222925968,0.6889971965546202,0.3857971027729789,-0.061877052901772985
2020,0.641881873681153,0.5961902022688286,0.05785579459263999,0.7065668234751732,0.5396675319101096,0.042685554165603684,0.6973369163886953,0.548089407704048,0.0003100301541290434,0.6839811182019075,0.5600518018536615,0.017271750134368113
2021,0.4313485955927395,0.7327941344664616,-0.03729148303406006,0.4947075497673097,0.690765010566498,-0.0026760139157356224,0.5337197693436252,0.6635634060726066,-0.06437057571306877,0.5210435529688353,0.6725226849175805,0.003607303440178388
2022,0.6033819861452137,0.7769918161881301,0.127175777412803,0.6646701248528857,0.7144409683839172,0.1364511569636523,0.664712195478655,0.7072049359147251,0.04583976928756287,0.6886847809241949,0.681454055983857,0.09230371966405002
2023,0.6033361910355488,0.680706448901186,-0.12525645634178556,0.6437677904052806,0.6450823634744571,-0.0968253862913801,0.6749682195412934,0.6163990383883482,-0.14705768925318105,0.6178425670398922,0.6683749961765943,-0.12293809542735558
2024,0.6545167368991991,0.9585267877348095,0.07896545963186727,0.6984933733725689,0.8954455425423395,0.0867620621877227,0.5021067212857937,1.1506914333277822,-0.20658769669307747,0.7688186403399553,0.7840922384615032,0.19855418682226963
2025,0.723780842634226,0.6813472120167101,-0.12790925566924005,0.7593370431068344,0.6359840284824039,-0.11335716365163932,0.7446307112287309,0.656354147625314,-0.19599168078691648,0.7716813497508982,0.6206183247682489,-0.12971818538045712
Average,0.5989267672752597,0.6998117151981743,-0.007321768515908947,0.6453406230326821,0.6550766612549748,0.007592000813822059,0.6408788243838683,0.6772147801758832,-0.09200820360483022,0.6772927436829005,0.6247016007049178,-0.0003994819498170773
