model,train,test,R2,RMSE,MBE
XGBoost,ASP,BAU,0.6346889105265839,0.7393903861115216,-0.09131725320967571
XGBoost,BAU,ASP,0.7069160149350033,0.6773319395912138,0.10632490338809808
RF,ASP,BAU,0.6886513973672599,0.6825992894247916,-0.10266833448210254
RF,BAU,ASP,0.7126812894716832,0.6706369307873208,0.10876218839278573
SVR,ASP,BAU,0.722051932644195,0.647215430747469,-0.057892518758907795
SVR,BAU,ASP,0.6851788152873455,0.6975555563310407,0.18870400580821511
LSTM,ASP,BAU,0.742059310578637,0.6234863672207012,-0.1190860810006723
LSTM,BAU,ASP,0.7061745601129967,0.6738939003939914,0.10886438828085152
